"Product Name","Installed Base Track","IP Type","Product: Created Date","Product Family","Product Group","Product Family Group","Product Service Group","Sibex Name","AARO Code","Business Area","Business Responsible","Product Group Description","Item Group","Item Group Description","Active (Product)","Product Code","Movex Part Number","Oracle CPQ Cloud Part Number","Status","Movex Full Description","Product: Created By"
"LANGUAGE RO LGP 11.1","Yes","Feature","4/13/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE ROMANIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1538743","1538743","1538743","Released","LANGUAGE RO LGP 11.1","Movex IntegrationUser"
"LANGUAGE HR LGP 11.1","Yes","Feature","4/20/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE CROATIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1538794","1538794","1538794","Released","LANGUAGE HR LGP 11.1","Movex IntegrationUser"
"LANGUAGE VI LGP 11.1","Yes","Feature","5/18/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE VIETNAMESE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539553","1539553","1539553","Released","LANGUAGE VI LGP 11.1","Movex IntegrationUser"
"CONTROL SYSTEM WO MONITORS","Yes","Part","6/1/2018","Neuro","RS08","LGK","LGK PFX/ICON CONTROL SYSTEM (CS)","CONTROL SYSTEM","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539338","1539338","1539338","Released","CONTROL SYSTEM","Movex IntegrationUser"
"MONITOR KIT DIGITAL","Yes","Part","6/1/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR DIGITAL","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539605","1539605","1539605","Released","MONITOR KIT DIGITAL","Movex IntegrationUser"
"MONITOR KIT ANALOG","Yes","Part","6/1/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR ANALOG","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539609","1539609","1539609","Released","MONITOR KIT ANALOG","Movex IntegrationUser"
"LANGUAGE LT LGP 11.1","Yes","Feature","6/15/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE LITHUANIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539285","1539285","1539285","Released","LANGUAGE LT LGP 11.1","Movex IntegrationUser"
"SE/GUI FOR LGK CS 11.3","Yes","Feature","6/29/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE SWEDISH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539782","1539782","1539782","Released","SE/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"CZ/GUI FOR LGK CS 11.3","Yes","Feature","6/29/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE CZECH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539772","1539772","1539772","Released","CZ/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"EL/GUI FOR LGK CS 11.3","Yes","Feature","7/6/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE GREEK","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539905","1539905","1539905","Released","EL/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE SE LGP 11.1","Yes","Feature","7/20/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE SWEDISH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539756","1539756","1539756","Released","LANGUAGE SE LGP 11.1","Movex IntegrationUser"
"LANGUAGE CZ LGP 11.1","Yes","Feature","7/20/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE CZECH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539730","1539730","1539730","Released","LANGUAGE CZ LGP 11.1","Movex IntegrationUser"
"VANTAGE RADIOLU. STARBURST 1/2","Yes","Product","7/27/2018","Neuro","SS01","LSS","LSN VANTAGE STARBURST","VANTAGE MAYFIELD STARBURST 1/2","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1072931","1072931","1072931","Released","VANTAGE RADIOLU. STARBURST 1/2","Movex IntegrationUser"
